AZ_onshore_wind_turbine_1,AZ_solar_photovoltaic_1,CA_onshore_wind_turbine_1,CA_solar_photovoltaic_1,CO_onshore_wind_turbine_1,CO_solar_photovoltaic_1,ID_onshore_wind_turbine_1,ID_solar_photovoltaic_1,MT_onshore_wind_turbine_1,MT_solar_photovoltaic_1,NM_onshore_wind_turbine_1,NM_solar_photovoltaic_1,NV_onshore_wind_turbine_1,NV_solar_photovoltaic_1,OR_onshore_wind_turbine_1,OR_solar_photovoltaic_1,UT_onshore_wind_turbine_1,UT_solar_photovoltaic_1,WA_onshore_wind_turbine_1,WA_solar_photovoltaic_1,WY_onshore_wind_turbine_1,WY_solar_photovoltaic_1,AZ_landbasedwind_class3_moderate_1,AZ_utilitypv_class1_moderate_1,CA_landbasedwind_class3_moderate_1,CA_utilitypv_class1_moderate_1,CA_offshorewind_class3_moderate_fixed_1_1,CA_offshorewind_class3_moderate_fixed_0_1,CA_offshorewind_class12_moderate_floating_0_1,CO_landbasedwind_class3_moderate_1,CO_utilitypv_class1_moderate_1,ID_landbasedwind_class3_moderate_1,ID_utilitypv_class1_moderate_1,MT_landbasedwind_class3_moderate_1,MT_utilitypv_class1_moderate_1,NM_landbasedwind_class3_moderate_1,NM_utilitypv_class1_moderate_1,NV_landbasedwind_class3_moderate_1,NV_utilitypv_class1_moderate_1,OR_landbasedwind_class3_moderate_1,OR_utilitypv_class1_moderate_1,OR_offshorewind_class3_moderate_fixed_1_1,OR_offshorewind_class3_moderate_fixed_0_1,OR_offshorewind_class12_moderate_floating_0_1,UT_landbasedwind_class3_moderate_1,UT_utilitypv_class1_moderate_1,WA_landbasedwind_class3_moderate_1,WA_utilitypv_class1_moderate_1,WA_offshorewind_class3_moderate_fixed_1_1,WA_offshorewind_class3_moderate_fixed_0_1,WA_offshorewind_class12_moderate_floating_0_1,WY_landbasedwind_class3_moderate_1,WY_utilitypv_class1_moderate_1,CA_NearField_2_5_254_c235
0.342334904,0.0,0.442246933,0.000281066,0.194274807,0.0,0.846410254,0.0,0.195437771,0.0,0.453905748,0.0,0.453,0.0,0.484517823,0.0,0.365195518,0.0,0.619031239,0.0,0.868044404,0.0,0.627748907,0.0,0.881738484,0.00010991,0.963826537,0.963826537,0.963826537,0.327287734,0.0,0.750431418,0.0,0.253272593,0.0,0.482056171,0.0,0.590938807,0.0,0.850271761,1.01e-7,0.982897282,0.982897282,0.982897282,0.496314108,0.0,0.798688889,0.0,0.981815398,0.981815398,0.981815398,0.377742857,0.0,1.07
0.173175454,0.0,0.594205554,0.0,0.236315199,0.0,0.83177175,0.0,0.250915783,0.0,0.361049893,0.0,0.366,0.0,0.438449773,0.0,0.294593509,0.0,0.53692831,0.0,0.886173557,0.0,0.711423576,0.0,0.8576473,0.0,0.969734728,0.969734728,0.969734728,0.287284493,0.0,0.730574429,0.0,0.265208542,0.0,0.437600255,0.0,0.561600327,0.0,0.831551254,0.0,0.982655883,0.982655883,0.982655883,0.472762555,0.0,0.803851724,0.0,0.982983768,0.982983768,0.982983768,0.408192545,0.0,1.07
0.275189396,0.0,0.627507415,0.0,0.221577486,0.0,0.85242142,0.0,0.298559277,0.0,0.282115735,0.0,0.834,0.0,0.421736291,0.0,0.43784338,0.0,0.494926863,0.0,0.880059778,0.0,0.785973132,0.0,0.829180658,0.0,0.944737256,0.944737256,0.944737256,0.267755568,0.0,0.700543821,0.0,0.266018152,0.0,0.43890503,0.0,0.507161856,0.0,0.82073319,0.0,0.981763899,0.981763899,0.981763899,0.439468831,0.0,0.781463861,0.0,0.983003676,0.983003676,0.983003676,0.426613748,0.0,1.05
0.502470201,0.0,0.709951907,0.0,0.202985981,0.0,0.774180422,0.0,0.321535301,0.0,0.348652621,0.0,0.692,0.0,0.508901781,0.0,0.236952859,0.0,0.423402474,0.0,0.893759612,0.0,0.817239344,0.0,0.797154963,0.0,0.925471902,0.925471902,0.925471902,0.247356445,0.0,0.657837451,0.0,0.269335419,0.0,0.47150138,0.0,0.482360065,0.0,0.788790047,0.0,0.979923308,0.979923308,0.979923308,0.402600914,0.0,0.773400068,0.0,0.983003676,0.983003676,0.983003676,0.446581423,0.0,1.03
0.633396073,0.0,0.550248459,0.0,0.225067549,0.0,0.77420536,0.0,0.284774699,0.0,0.638030197,0.0,0.815,0.0,0.417297998,0.0,0.115182638,0.0,0.318351955,0.0,0.889613106,0.0,0.81842339,0.0,0.778760791,0.0,0.948275149,0.948275149,0.948275149,0.254072249,0.0,0.626149058,0.0,0.265910715,0.0,0.511420906,0.0,0.512410402,0.0,0.763815522,0.0,0.977697968,0.977697968,0.977697968,0.361833632,0.0,0.738093734,0.0,0.983003676,0.983003676,0.983003676,0.47135663,0.0,1.01
0.504619048,0.0,0.259881904,0.0,0.332529393,0.0,0.752477715,0.0,0.26205241,0.0,0.645190292,0.0,0.362,0.0,0.312191037,0.0,0.077744462,0.0,0.309223101,0.0,0.875073337,0.0,0.849723339,0.0,0.785737157,0.0,0.966514885,0.966514885,0.966514885,0.249878377,0.0,0.583912015,0.0,0.255748987,0.0,0.557313263,0.0,0.517399967,0.0,0.739129424,0.0,0.963729501,0.963729501,0.963729501,0.320522606,0.0,0.696917772,0.0,0.983003676,0.983003676,0.983003676,0.496789306,0.0,1.0
0.605178105,0.0,0.388713335,0.0,0.382664591,0.0,0.716324556,0.0,0.210722169,0.0,0.701573663,0.0,0.239,0.0,0.230585395,0.0,0.071862184,0.0,0.268673379,0.0,0.877018634,0.0,0.860285521,0.0,0.816775501,0.0,0.975063384,0.975063384,0.975063384,0.242646575,0.0,0.543549001,0.0,0.25426051,0.0,0.596794546,0.0,0.493876308,0.0,0.72099328,0.0,0.938971281,0.938971281,0.938971281,0.27782765,0.0,0.700788498,0.0,0.981778979,0.981778979,0.981778979,0.492422312,0.0,0.99
0.646131075,0.0,0.838097284,0.0,0.428776935,0.0,0.647014981,0.0,0.213477831,0.0,0.465967755,0.0,0.231,0.0,0.227400613,0.0,0.183926842,0.0,0.284479952,0.0,0.887892184,0.0,0.844888151,0.0,0.808126509,0.0,0.981146514,0.981146514,0.981146514,0.256609976,0.0,0.512212634,0.0,0.261622697,0.0,0.61935544,0.0,0.489096165,0.0,0.695350826,0.0,0.912953079,0.912953079,0.912953079,0.220034614,0.0,0.718135417,0.0,0.983003676,0.983003676,0.983003676,0.492289007,0.0,0.99
0.767569563,0.0,0.869510528,0.0,0.409694908,0.0,0.500888434,0.0,0.236286024,0.0,0.367091464,0.0,0.115,0.0,0.224479841,0.0,0.205871973,0.0,0.273281062,0.0,0.855163701,0.0,0.827051759,0.0,0.80468291,0.0,0.974336028,0.974336028,0.974336028,0.235114992,0.0,0.486510098,0.0,0.265150011,0.0,0.60718739,0.0,0.457098901,0.0,0.68087548,0.0,0.879110157,0.879110157,0.879110157,0.209515363,0.0,0.736044347,0.0,0.982636034,0.982636034,0.982636034,0.512829304,0.0,1.0
0.828969759,0.0,0.876926274,0.0,0.329872793,0.0,0.446691449,0.0,0.350228494,0.0,0.336929234,0.0,0.11,0.0,0.226102841,0.0,0.207692684,0.0,0.267117426,0.0,0.807214452,0.0,0.778596342,0.0,0.788738847,0.0,0.979573071,0.979573071,0.979573071,0.201895386,0.0,0.469405442,0.0,0.254040509,0.0,0.613030791,0.0,0.453951746,0.0,0.669260263,0.0,0.820940316,0.820940316,0.820940316,0.195076749,0.0,0.719205081,0.0,0.982317567,0.982317567,0.982317567,0.519524455,0.0,1.01
