AZ_conventional_hydroelectric_1,CA_conventional_hydroelectric_1,CO_conventional_hydroelectric_1,ID_conventional_hydroelectric_1,MT_conventional_hydroelectric_1,NV_conventional_hydroelectric_1,OR_conventional_hydroelectric_1,UT_conventional_hydroelectric_1,WA_conventional_hydroelectric_1,WY_conventional_hydroelectric_1
0.270569205,0.376155704,0.348764002,0.48384735,0.379346371,0.277068913,0.411759943,0.304205716,0.452236652,0.51473552
0.270342588,0.375959605,0.348714173,0.48331213,0.378861755,0.27692005,0.411730498,0.303892553,0.451638222,0.513987422
0.270115972,0.375763506,0.348664343,0.48277694,0.378377169,0.276771188,0.411701053,0.30357942,0.451039821,0.513239384
0.269889325,0.375567436,0.348614514,0.48224175,0.377892554,0.276622325,0.411671638,0.303266287,0.45044142,0.512491286
0.269662708,0.375371337,0.348564684,0.4817065,0.377407968,0.276473463,0.411642194,0.302953124,0.449842989,0.511743248
0.269436061,0.375175238,0.348514855,0.48117137,0.376923382,0.27632457,0.411612749,0.302639961,0.449244589,0.51099515
0.269209445,0.374979138,0.348465025,0.48063612,0.376438737,0.276175708,0.411583334,0.302326828,0.448646188,0.510247111
0.268982828,0.374783039,0.348415196,0.48010093,0.375954151,0.276026815,0.41155389,0.302013695,0.448047757,0.509499073
0.268756211,0.37458694,0.348365366,0.47956574,0.375469565,0.275877982,0.411524475,0.301700562,0.447449356,0.508750975
0.268529594,0.374390841,0.348315537,0.47903052,0.37498495,0.27572912,0.411495,0.301387399,0.446850955,0.508002877
0.268302977,0.374194741,0.348265707,0.4784953,0.374500334,0.275580257,0.411465615,0.301074266,0.446252584,0.507254839
0.26807633,0.373998642,0.348215878,0.47796014,0.374015749,0.275431365,0.411436141,0.300761104,0.445654184,0.506506801
0.267849714,0.373802543,0.348166049,0.47742492,0.373531163,0.275282502,0.411406696,0.300447941,0.445055783,0.505758703
0.267623097,0.373606443,0.348116219,0.476889729,0.373046577,0.27513364,0.411377311,0.300134808,0.444457352,0.505010605
0.26739648,0.373410344,0.34806636,0.47635451,0.372561961,0.274984777,0.411347836,0.299821675,0.443858922,0.504262567
0.267169863,0.373214245,0.34801656,0.47581929,0.372077346,0.274835885,0.411318421,0.299508512,0.44326055,0.503514528
0.266943216,0.373018146,0.347966731,0.4752841,0.37159276,0.274687052,0.411288977,0.299195379,0.44266212,0.50276643
0.266716599,0.372822046,0.347916901,0.474748909,0.371108145,0.274538189,0.411259562,0.298882246,0.442063719,0.502018392
0.266489983,0.372625947,0.347867072,0.474213719,0.370623529,0.274389297,0.411230087,0.298569083,0.441465318,0.501270294
0.266263366,0.372429848,0.347817242,0.47367847,0.370138943,0.274240404,0.411200672,0.29825595,0.440866888,0.500522256
0.266036749,0.372233748,0.347767413,0.47314328,0.369654328,0.274091572,0.411171257,0.297942817,0.440268487,0.499774218
0.265810102,0.372037679,0.347717553,0.472608089,0.369169742,0.273942709,0.411141813,0.297629654,0.439670086,0.49902612
0.265583485,0.37184155,0.347667754,0.472072899,0.368685156,0.273793817,0.411112368,0.297316492,0.439071655,0.498278022
0.265356869,0.371645451,0.347617894,0.471537679,0.368200541,0.273644954,0.411082953,0.297003359,0.438473314,0.497529984
0.265130252,0.371449381,0.347568035,0.471002519,0.367715955,0.273496121,0.411053509,0.296690226,0.437874913,0.496781915
0.264903605,0.371253252,0.347518235,0.470467269,0.367231369,0.273347229,0.411024064,0.296377093,0.437276483,0.496033847
0.264676988,0.371057183,0.347468406,0.469932109,0.366746724,0.273198336,0.410994649,0.29606393,0.436678082,0.495285779
0.264450371,0.370861053,0.347418547,0.469396889,0.366262138,0.273049474,0.410965204,0.295750797,0.436079651,0.494537711
